City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Te Anau,NZ,2021-05-31 00:03:24,-45.4167,167.7167,47.3,96,100,5.55
1,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
2,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
3,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
4,Te Anau,NZ,2021-05-31 00:04:02,-45.4167,167.7167,47.3,96,100,5.55
5,Hobart,AU,2021-05-31 00:06:40,-42.8794,147.3294,48.25,79,40,4.63
6,Saskylakh,RU,2021-05-31 00:06:41,71.9167,114.0833,39.97,78,62,4.21
7,Tancitaro,MX,2021-05-31 00:06:41,19.3333,-102.3667,64.42,53,83,6.02
8,Mataura,NZ,2021-05-31 00:03:30,-46.1927,168.8643,49.48,98,100,4.25
9,Yellowknife,CA,2021-05-31 00:01:57,62.456,-114.3525,51.3,57,77,1.01
10,Saint-Philippe,RE,2021-05-31 00:05:50,-21.3585,55.7679,71.19,81,33,5.64
11,Diego De Almagro,CL,2021-05-31 00:06:41,-26.3667,-70.05,62.04,49,0,2.42
12,Tuktoyaktuk,CA,2021-05-31 00:06:42,69.4541,-133.0374,40.28,66,4,2.21
13,Ushuaia,AR,2021-05-31 00:03:02,-54.8,-68.3,21.15,97,100,2.64
14,Vaini,TO,2021-05-31 00:06:42,-21.2,-175.2,71.76,94,90,6.91
15,Sorland,NO,2021-05-31 00:06:42,67.667,12.6934,45.84,93,100,9.37
16,Talcahuano,CL,2021-05-31 00:06:43,-36.7167,-73.1167,55.08,88,90,6.91
17,Talnakh,RU,2021-05-31 00:06:43,69.4865,88.3972,35.26,99,100,11.12
18,Harrisonburg,US,2021-05-31 00:06:43,38.4496,-78.8689,57.15,60,99,3.71
19,Dikson,RU,2021-05-31 00:06:43,73.5069,80.5464,30.34,98,100,4.18
20,Kapaa,US,2021-05-31 00:06:07,22.0752,-159.319,84.52,76,20,5.01
21,Marzuq,YE,2021-05-31 00:06:44,14.4,46.4667,77.7,38,0,3.51
22,Riyadh,SA,2021-05-31 00:03:44,24.6877,46.7219,87.17,13,0,2.53
23,Ribeira Grande,PT,2021-05-31 00:06:44,38.5167,-28.7,64.0,84,81,6.35
24,Akersberga,SE,2021-05-31 00:06:44,59.4794,18.2997,52.88,66,42,6.96
25,Sunrise Manor,US,2021-05-31 00:06:44,36.2111,-115.0731,100.81,7,1,3.44
26,Namatanai,PG,2021-05-31 00:06:44,-3.6667,152.4333,84.06,71,94,8.25
27,Gilgit,PK,2021-05-31 00:06:45,35.9221,74.3087,69.62,58,100,4.59
28,Bonavista,CA,2021-05-31 00:06:45,48.6499,-53.1147,44.11,66,6,5.37
29,Xifeng,CN,2021-05-31 00:06:45,42.7372,124.7222,68.05,48,8,5.53
30,Oussouye,SN,2021-05-31 00:06:46,12.485,-16.5469,75.15,76,100,9.75
31,Ponta Do Sol,PT,2021-05-31 00:06:46,32.6667,-17.1,65.03,53,21,3.65
32,Carnarvon,AU,2021-05-31 00:03:49,-24.8667,113.6333,63.75,63,52,13.58
33,Tiksi,RU,2021-05-31 00:06:46,71.6872,128.8694,36.91,84,78,6.44
34,Bluff,NZ,2021-05-31 00:05:51,-46.6,168.3333,49.8,89,100,21.63
35,Fairbanks,US,2021-05-31 00:06:46,64.8378,-147.7164,67.24,37,20,6.91
36,Isangel,VU,2021-05-31 00:06:46,-19.55,169.2667,74.07,63,50,8.46
37,Atuona,PF,2021-05-31 00:02:45,-9.8,-139.0333,79.56,64,6,9.26
38,Chuy,UY,2021-05-31 00:05:56,-33.6971,-53.4616,43.79,73,5,6.76
39,Tautira,PF,2021-05-31 00:06:47,-17.7333,-149.15,82.42,72,91,16.6
40,Hermanus,ZA,2021-05-31 00:05:52,-34.4187,19.2345,56.89,74,98,7.45
41,Santa Rosa,PH,2021-05-31 00:06:47,14.3122,121.1114,89.11,80,86,4.43
42,Encruzilhada Do Sul,BR,2021-05-31 00:06:47,-30.5439,-52.5219,40.35,69,18,2.75
43,Tunceli,TR,2021-05-31 00:06:48,39.1083,39.5471,54.46,43,0,4.59
44,Veraval,IN,2021-05-31 00:06:48,20.9,70.3667,82.65,76,47,11.52
45,Samarai,PG,2021-05-31 00:06:48,-10.6167,150.6667,80.31,75,99,16.11
46,New Norfolk,AU,2021-05-31 00:04:05,-42.7826,147.0587,47.91,67,50,3.2
47,Ardee,IE,2021-05-31 00:06:48,53.8597,-6.5406,53.65,89,2,2.33
48,Nikolskoye,RU,2021-05-31 00:04:22,59.7035,30.7861,39.09,70,10,2.46
49,Coos Bay,US,2021-05-31 00:06:49,43.3665,-124.2179,87.01,67,1,16.11
50,La Palma,US,2021-05-31 00:06:49,33.8464,-118.0467,86.95,65,1,5.99
51,Rivne,UA,2021-05-31 00:06:49,50.6231,26.2274,46.83,96,100,10.33
52,Tenango,MX,2021-05-31 00:06:50,18.65,-98.1833,85.03,31,51,12.15
53,Lagoa,PT,2021-05-31 00:06:10,39.05,-27.9833,62.51,87,84,8.9
54,Stykkisholmur,IS,2021-05-31 00:06:50,65.0757,-22.7297,41.54,85,78,13.18
55,Tumut,AU,2021-05-31 00:06:50,-35.3,148.2167,43.79,49,0,0.6
56,Kodiak,US,2021-05-31 00:06:51,57.79,-152.4072,49.51,76,90,12.66
57,Westport,US,2021-05-31 00:06:51,41.1415,-73.3579,51.78,93,90,1.01
58,Castro,BR,2021-05-31 00:06:51,-24.7911,-50.0119,56.25,99,100,3.09
59,Tonstad,NO,2021-05-31 00:06:51,58.6626,6.7169,48.34,71,35,1.81
60,Bethel,US,2021-05-31 00:06:52,41.3712,-73.414,49.95,91,100,1.01
61,Provideniya,RU,2021-05-31 00:05:38,64.3833,-173.3,51.91,50,0,22.37
62,Cherskiy,RU,2021-05-31 00:06:52,68.75,161.3,62.42,28,0,4.9
63,Puerto Ayora,EC,2021-05-31 00:06:52,-0.7393,-90.3518,74.55,85,20,8.99
64,Arazede,PT,2021-05-31 00:06:52,40.2863,-8.65,63.91,92,3,1.28
65,Lucea,JM,2021-05-31 00:06:53,18.451,-78.1736,81.86,73,33,2.51
66,Asau,RO,2021-05-31 00:06:53,46.4333,26.4,52.72,96,85,2.13
67,San Carlos Del Zulia,VE,2021-05-31 00:06:53,9.0,-71.9135,78.93,82,68,4.63
68,Tula,RU,2021-05-31 00:06:53,54.2044,37.6111,48.6,92,100,11.14
69,Rikitea,PF,2021-05-31 00:03:39,-23.1203,-134.9692,75.34,67,88,12.26
70,Port-Gentil,GA,2021-05-31 00:06:35,-0.7193,8.7815,79.09,85,94,17.31
71,Bredasdorp,ZA,2021-05-31 00:06:54,-34.5322,20.0403,52.65,76,85,4.7
72,Mikuni,JP,2021-05-31 00:06:54,36.2171,136.1519,64.29,61,0,3.0
73,Glenwood Springs,US,2021-05-31 00:06:54,39.5505,-107.3248,69.89,44,89,1.99
74,Arraial Do Cabo,BR,2021-05-31 00:06:54,-22.9661,-42.0278,75.06,88,75,5.75
75,Cayenne,GF,2021-05-31 00:04:45,4.9333,-52.3333,80.1,86,0,1.99
76,Punta Arenas,CL,2021-05-31 00:06:55,-53.15,-70.9167,33.91,69,75,6.71
77,Hilo,US,2021-05-31 00:05:47,19.7297,-155.09,86.29,77,75,16.11
78,Lasa,IT,2021-05-31 00:06:55,46.6166,10.7002,51.62,82,20,1.74
79,Airai,TL,2021-05-31 00:06:01,-8.9266,125.4092,64.92,71,100,1.92
80,Victoria,HK,2021-05-31 00:06:55,22.2855,114.1577,86.97,88,100,1.99
81,Sur,OM,2021-05-31 00:06:56,22.5667,59.5289,90.41,38,87,11.25
82,Cidreira,BR,2021-05-31 00:06:56,-30.1811,-50.2056,50.65,58,24,6.4
83,Ravar,IR,2021-05-31 00:06:56,31.2656,56.8055,79.59,10,0,0.72
84,Peniche,PT,2021-05-31 00:06:56,39.3558,-9.3811,65.62,91,9,4.47
85,Rodrigues Alves,BR,2021-05-31 00:06:57,-7.738,-72.6509,76.59,83,82,0.56
86,Salym,RU,2021-05-31 00:06:57,60.0625,71.4789,58.26,82,62,4.92
87,Albany,US,2021-05-31 00:03:35,42.6001,-73.9662,48.38,94,100,5.26
88,Atar,MR,2021-05-31 00:06:57,20.5169,-13.0499,91.38,26,72,3.24
89,Bissora,GW,2021-05-31 00:06:57,12.2231,-15.4475,76.33,68,100,4.76
90,Butaritari,KI,2021-05-31 00:06:01,3.0707,172.7902,83.07,77,72,13.33
91,Cape Town,ZA,2021-05-31 00:06:58,-33.9258,18.4232,57.11,87,87,4.65
92,Linares,CL,2021-05-31 00:06:58,-35.85,-71.6,50.29,70,100,3.09
93,Vaitape,PF,2021-05-31 00:06:58,-16.5167,-151.75,79.81,73,98,16.08
94,Roanoke Rapids,US,2021-05-31 00:06:58,36.4615,-77.6542,59.2,70,82,8.52
95,Avarua,CK,2021-05-31 00:06:08,-21.2078,-159.775,78.85,57,52,11.5
96,Port Alfred,ZA,2021-05-31 00:06:59,-33.5906,26.891,57.74,65,98,14.47
97,Seddon,AU,2021-05-31 00:06:59,-37.8068,144.8916,56.46,70,0,5.99
98,Chengde,CN,2021-05-31 00:06:59,40.9725,117.9361,64.2,46,95,1.7
99,Sobolevo,RU,2021-05-31 00:07:00,54.4299,31.8996,40.24,70,90,8.21
100,Pozo Colorado,PY,2021-05-31 00:07:00,-23.4923,-58.7972,67.23,30,99,8.43
101,Gorontalo,ID,2021-05-31 00:07:00,0.5412,123.0595,80.67,80,94,1.14
102,Muroto,JP,2021-05-31 00:07:00,33.2833,134.15,69.8,61,0,7.11
103,Itarema,BR,2021-05-31 00:07:01,-2.9248,-39.9167,78.39,80,2,12.39
104,Chokurdakh,RU,2021-05-31 00:07:01,70.6333,147.9167,64.51,25,12,12.82
105,Iralaya,HN,2021-05-31 00:07:01,15.0,-83.2333,80.91,75,37,8.9
106,Busselton,AU,2021-05-31 00:07:01,-33.65,115.3333,52.09,68,89,12.88
107,Saint-Augustin,CA,2021-05-31 00:07:02,51.226,-58.6502,51.96,56,2,10.54
108,Bereda,ES,2021-05-31 00:07:02,43.2686,-7.5406,55.92,100,7,3.44
109,Makakilo City,US,2021-05-31 00:07:03,21.3469,-158.0858,85.75,58,1,9.22
110,Broome,US,2021-05-31 00:05:27,42.2506,-75.833,49.62,88,90,1.99
111,Khatra,IN,2021-05-31 00:07:03,22.9833,86.85,82.6,87,98,8.81
112,Qaanaaq,GL,2021-05-31 00:06:09,77.484,-69.3632,29.57,95,100,0.6
113,Havre-Saint-Pierre,CA,2021-05-31 00:07:03,50.2334,-63.5986,46.81,67,17,7.67
114,Norman Wells,CA,2021-05-31 00:07:03,65.282,-126.8329,57.49,49,63,10.83
115,Qui Nhon,VN,2021-05-31 00:07:04,13.7667,109.2333,85.3,70,1,3.56
116,Shimoda,JP,2021-05-31 00:07:04,34.6667,138.95,72.1,62,0,12.41
117,Binga,ZW,2021-05-31 00:07:04,-17.6203,27.3414,59.27,48,3,1.43
118,Kaitangata,NZ,2021-05-31 00:07:05,-46.2817,169.8464,50.9,92,100,6.73
119,Tasiilaq,GL,2021-05-31 00:06:28,65.6145,-37.6368,37.56,96,100,8.41
120,Nanortalik,GL,2021-05-31 00:04:41,60.1432,-45.2371,36.79,88,13,18.41
121,Tiarei,PF,2021-05-31 00:07:05,-17.5333,-149.3333,82.42,73,91,17.29
122,Yerbogachen,RU,2021-05-31 00:05:26,61.2767,108.0108,53.51,63,95,7.11
123,Skibbereen,IE,2021-05-31 00:07:05,51.55,-9.2667,51.6,89,42,4.25
124,Egvekinot,RU,2021-05-31 00:07:05,66.3167,-179.1667,45.93,40,24,4.29
125,Port Augusta,AU,2021-05-31 00:07:06,-32.5,137.7667,46.54,27,100,3.38
126,Sitka,US,2021-05-31 00:07:06,57.0531,-135.33,55.29,71,90,4.61
127,Berbera,SO,2021-05-31 00:07:06,10.4396,45.0143,90.12,48,16,3.71
128,Vila Franca Do Campo,PT,2021-05-31 00:07:06,37.7167,-25.4333,63.01,82,75,6.17
129,Felipe Carrillo Puerto,MX,2021-05-31 00:07:07,19.5833,-88.05,82.87,63,30,6.8
130,College,US,2021-05-31 00:06:27,64.8569,-147.8028,67.23,38,75,0.0
131,Smirnykh,RU,2021-05-31 00:07:07,49.75,142.8333,50.45,51,18,6.06
132,Baykit,RU,2021-05-31 00:06:34,61.67,96.37,43.88,72,39,2.53
133,Hobyo,SO,2021-05-31 00:06:14,5.3505,48.5268,78.44,85,71,19.84
134,Kuantan,MY,2021-05-31 00:07:07,3.8077,103.326,78.98,90,54,4.38
135,Barrow,US,2021-05-31 00:07:07,71.2906,-156.7887,33.82,80,90,10.36
136,Vardo,NO,2021-05-31 00:07:08,70.3705,31.1107,41.2,86,100,18.7
137,Humaita,BR,2021-05-31 00:07:08,-7.5061,-63.0208,77.88,65,11,2.24
138,Paamiut,GL,2021-05-31 00:07:08,61.994,-49.6678,35.26,90,44,16.73
139,Porto Walter,BR,2021-05-31 00:07:09,-8.2686,-72.7439,78.6,73,82,2.08
140,Mount Gambier,AU,2021-05-31 00:07:09,-37.8333,140.7667,46.62,49,57,9.06
141,Halifax,CA,2021-05-31 00:06:01,44.6453,-63.5724,48.69,88,75,5.99
142,Sonoita,MX,2021-05-31 00:07:09,31.85,-112.8333,95.52,18,0,15.97
143,Dingle,PH,2021-05-31 00:07:09,10.9995,122.6711,83.32,78,77,2.66
144,Jinchang,CN,2021-05-31 00:07:10,38.4953,102.1739,64.26,41,99,8.28
145,Basco,PH,2021-05-31 00:07:10,20.4487,121.9702,84.25,81,63,15.55
146,Rocha,UY,2021-05-31 00:07:10,-34.4833,-54.3333,41.25,71,23,5.61
147,Urdoma,RU,2021-05-31 00:07:10,61.7533,48.5442,30.34,89,8,4.07
148,Srednekolymsk,RU,2021-05-31 00:07:08,67.45,153.6833,64.72,26,10,11.56
149,Alofi,NU,2021-05-31 00:07:10,-19.0595,-169.9187,80.8,77,74,13.87
150,Faanui,PF,2021-05-31 00:07:11,-16.4833,-151.75,79.84,73,99,16.11
151,Klaksvik,FO,2021-05-31 00:07:11,62.2266,-6.589,50.92,93,12,20.22
152,Ramnagar,IN,2021-05-31 00:07:11,29.4,79.1167,75.52,74,30,5.61
153,Saldanha,ZA,2021-05-31 00:07:11,-33.0117,17.9442,57.67,80,91,11.14
154,Mayumba,GA,2021-05-31 00:07:12,-3.432,10.6554,76.41,90,98,5.88
155,Jiangyou,CN,2021-05-31 00:07:12,31.7667,104.7167,74.93,69,81,3.36
156,Neftcala,AZ,2021-05-31 00:07:12,39.3742,49.2472,71.56,72,0,16.93
157,Aken,DE,2021-05-31 00:07:12,50.7766,6.0834,57.47,81,5,5.32
158,Buraydah,SA,2021-05-31 00:07:13,26.326,43.975,87.42,13,15,6.49
159,Berlevag,NO,2021-05-31 00:06:36,70.8578,29.0864,42.33,96,100,21.03
160,Urumqi,CN,2021-05-31 00:07:13,43.801,87.6005,70.75,27,0,1.74
161,Vanderhoof,CA,2021-05-31 00:07:13,54.0166,-124.0198,59.74,68,99,0.56
162,Tongliao,CN,2021-05-31 00:05:35,43.6125,122.2653,69.64,34,65,16.49
163,Kavaratti,IN,2021-05-31 00:07:13,10.5669,72.642,82.4,77,93,16.96
164,Tateyama,JP,2021-05-31 00:07:13,34.9833,139.8667,74.14,66,11,10.51
165,Nipawin,CA,2021-05-31 00:07:14,53.3668,-104.0009,66.52,34,5,7.92
166,Manggar,ID,2021-05-31 00:07:14,-2.8833,108.2667,81.36,81,59,4.9
167,Mayo,US,2021-05-31 00:07:14,38.8876,-76.5119,55.44,87,90,5.99
168,Hamilton,US,2021-05-31 00:07:14,39.1834,-84.5333,64.31,65,1,4.23
169,Bagotville,AU,2021-05-31 00:07:15,-28.9833,153.4167,62.62,74,46,9.28
170,Sangueya,GN,2021-05-31 00:07:15,10.7,-14.3667,76.87,80,96,2.1
171,Luderitz,NA,2021-05-31 00:05:46,-26.6481,15.1594,57.15,66,0,16.2
172,Vyshneve,UA,2021-05-31 00:07:15,50.3891,30.3705,52.11,89,0,8.95
173,Kizilskoye,RU,2021-05-31 00:07:15,52.7255,58.8937,59.2,88,64,3.87
174,Plouzane,FR,2021-05-31 00:07:16,48.3833,-4.6167,55.45,82,0,10.38
175,Saint Anthony,US,2021-05-31 00:07:16,45.0205,-93.218,64.89,79,75,3.0
176,Port Elizabeth,ZA,2021-05-31 00:03:16,-33.918,25.5701,52.11,72,92,10.31
177,Camacari,BR,2021-05-31 00:07:16,-12.6975,-38.3242,73.06,87,25,4.97
178,Solnechnyy,RU,2021-05-31 00:07:16,50.7214,136.6319,57.56,54,70,4.83
179,Krasnovishersk,RU,2021-05-31 00:07:17,60.4078,57.082,35.19,80,49,5.95
180,Noumea,NC,2021-05-31 00:07:17,-22.2763,166.4572,66.18,65,98,10.29
181,Payakumbuh,ID,2021-05-31 00:07:17,-0.2202,100.6308,70.27,97,75,3.31
182,Novo Aripuana,BR,2021-05-31 00:07:17,-5.1206,-60.3797,79.81,71,82,1.92
183,Iqaluit,CA,2021-05-31 00:06:38,63.7506,-68.5145,38.7,80,100,3.0
184,Pangnirtung,CA,2021-05-31 00:07:18,66.1451,-65.7125,33.85,98,100,4.41
185,Byron Bay,AU,2021-05-31 00:07:18,-28.65,153.6167,69.06,67,74,14.23
186,Abu Zabad,SD,2021-05-31 00:07:18,12.35,29.25,87.84,32,55,4.83
187,Deputatskiy,RU,2021-05-31 00:07:18,69.3,139.9,56.44,44,26,14.72
188,Tynda,RU,2021-05-31 00:07:19,55.1667,124.7167,52.3,82,95,4.68
189,Guerrero Negro,MX,2021-05-31 00:07:19,27.9769,-114.0611,65.25,64,2,19.53
190,Paramirim,BR,2021-05-31 00:07:19,-13.4425,-42.2389,69.57,50,14,5.35
191,Margate,GB,2021-05-31 00:07:19,51.3813,1.3862,53.31,83,4,4.0
192,Saint-Joseph,RE,2021-05-31 00:05:30,-21.3667,55.6167,70.18,76,27,5.39
193,Richards Bay,ZA,2021-05-31 00:06:23,-28.783,32.0377,63.7,69,99,2.62
194,Ilulissat,GL,2021-05-31 00:07:19,69.2167,-51.1,33.82,80,75,12.66
